,text,tag
0,EU,B-ORG
1,rejects,O
2,German,B-MISC
3,call,O
4,to,O
5,boycott,O
6,British,B-MISC
7,lamb,O
8,.,O
9,Peter,B-PER
10,Blackburn,I-PER
11,BRUSSELS,B-LOC
12,1996-08-22,O
13,The,O
14,European,B-ORG
15,Commission,I-ORG
16,said,O
17,on,O
18,Thursday,O
19,it,O
20,disagreed,O
21,with,O
22,German,B-MISC
23,advice,O
24,to,O
25,consumers,O
26,to,O
27,shun,O
28,British,B-MISC
29,lamb,O
30,until,O
31,scientists,O
32,determine,O
33,whether,O
34,mad,O
35,cow,O
36,disease,O
37,can,O
38,be,O
39,transmitted,O
40,to,O
41,sheep,O
42,.,O
43,Germany,B-LOC
44,'s,O
45,representative,O
46,to,O
47,the,O
48,European,B-ORG
49,Union,I-ORG
50,'s,O
51,veterinary,O
52,committee,O
53,Werner,B-PER
54,Zwingmann,I-PER
55,said,O
56,on,O
57,Wednesday,O
58,consumers,O
59,should,O
60,buy,O
61,sheepmeat,O
62,from,O
63,countries,O
64,other,O
65,than,O
66,Britain,B-LOC
67,until,O
68,the,O
69,scientific,O
70,advice,O
71,was,O
72,clearer,O
73,.,O
74,"""",O
75,We,O
76,do,O
77,n't,O
78,support,O
79,any,O
80,such,O
81,recommendation,O
82,because,O
83,we,O
84,do,O
85,n't,O
86,see,O
87,any,O
88,grounds,O
89,for,O
90,it,O
91,",",O
92,"""",O
93,the,O
94,Commission,B-ORG
95,'s,O
96,chief,O
97,spokesman,O
98,Nikolaus,B-PER
99,van,I-PER
100,der,I-PER
101,Pas,I-PER
102,told,O
103,a,O
104,news,O
105,briefing,O
106,.,O
107,He,O
108,said,O
109,further,O
110,scientific,O
111,study,O
112,was,O
113,required,O
114,and,O
115,if,O
116,it,O
117,was,O
118,found,O
119,that,O
120,action,O
121,was,O
122,needed,O
123,it,O
124,should,O
125,be,O
126,taken,O
127,by,O
128,the,O
129,European,B-ORG
130,Union,I-ORG
131,.,O
132,He,O
133,said,O
134,a,O
135,proposal,O
136,last,O
137,month,O
138,by,O
139,EU,B-ORG
140,Farm,O
141,Commissioner,O
142,Franz,B-PER
143,Fischler,I-PER
144,to,O
145,ban,O
146,sheep,O
147,brains,O
148,",",O
149,spleens,O
150,and,O
151,spinal,O
152,cords,O
153,from,O
154,the,O
155,human,O
156,and,O
157,animal,O
158,food,O
159,chains,O
160,was,O
161,a,O
162,highly,O
163,specific,O
164,and,O
165,precautionary,O
166,move,O
167,to,O
168,protect,O
169,human,O
170,health,O
171,.,O
172,Fischler,B-PER
173,proposed,O
174,EU-wide,B-MISC
175,measures,O
176,after,O
177,reports,O
178,from,O
179,Britain,B-LOC
180,and,O
181,France,B-LOC
182,that,O
183,under,O
184,laboratory,O
185,conditions,O
186,sheep,O
187,could,O
188,contract,O
189,Bovine,B-MISC
190,Spongiform,I-MISC
191,Encephalopathy,I-MISC
192,(,O
193,BSE,B-MISC
194,),O
195,--,O
196,mad,O
197,cow,O
198,disease,O
199,.,O
200,But,O
201,Fischler,B-PER
202,agreed,O
203,to,O
204,review,O
205,his,O
206,proposal,O
207,after,O
208,the,O
209,EU,B-ORG
210,'s,O
211,standing,O
212,veterinary,O
213,committee,O
214,",",O
215,mational,O
216,animal,O
217,health,O
218,officials,O
219,",",O
220,questioned,O
221,if,O
222,such,O
223,action,O
224,was,O
225,justified,O
226,as,O
227,there,O
228,was,O
229,only,O
230,a,O
231,slight,O
232,risk,O
233,to,O
234,human,O
235,health,O
236,.,O
237,Spanish,B-MISC
238,Farm,O
239,Minister,O
240,Loyola,B-PER
241,de,I-PER
242,Palacio,I-PER
243,had,O
244,earlier,O
245,accused,O
246,Fischler,B-PER
247,at,O
248,an,O
249,EU,B-ORG
250,farm,O
251,ministers,O
252,',O
253,meeting,O
254,of,O
255,causing,O
256,unjustified,O
257,alarm,O
258,through,O
259,"""",O
260,dangerous,O
261,generalisation,O
262,.,O
263,"""",O
264,.,O
265,Only,O
266,France,B-LOC
267,and,O
268,Britain,B-LOC
269,backed,O
270,Fischler,B-PER
271,'s,O
272,proposal,O
273,.,O
274,The,O
275,EU,B-ORG
276,'s,O
277,scientific,O
278,veterinary,O
279,and,O
280,multidisciplinary,O
281,committees,O
282,are,O
283,due,O
284,to,O
285,re-examine,O
286,the,O
287,issue,O
288,early,O
289,next,O
290,month,O
291,and,O
292,make,O
293,recommendations,O
294,to,O
295,the,O
296,senior,O
297,veterinary,O
298,officials,O
299,.,O
300,Sheep,O
301,have,O
302,long,O
303,been,O
304,known,O
305,to,O
306,contract,O
307,scrapie,O
308,",",O
309,a,O
310,brain-wasting,O
311,disease,O
312,similar,O
313,to,O
314,BSE,B-MISC
315,which,O
316,is,O
317,believed,O
318,to,O
319,have,O
320,been,O
321,transferred,O
322,to,O
323,cattle,O
324,through,O
325,feed,O
326,containing,O
327,animal,O
328,waste,O
329,.,O
330,British,B-MISC
331,farmers,O
332,denied,O
333,on,O
334,Thursday,O
335,there,O
336,was,O
337,any,O
338,danger,O
339,to,O
340,human,O
341,health,O
342,from,O
343,their,O
344,sheep,O
345,",",O
346,but,O
347,expressed,O
348,concern,O
349,that,O
350,German,B-MISC
351,government,O
352,advice,O
353,to,O
354,consumers,O
355,to,O
356,avoid,O
357,British,B-MISC
358,lamb,O
359,might,O
360,influence,O
361,consumers,O
362,across,O
363,Europe,B-LOC
364,.,O
365,"""",O
366,What,O
367,we,O
368,have,O
369,to,O
370,be,O
371,extremely,O
372,careful,O
373,of,O
374,is,O
375,how,O
376,other,O
377,countries,O
378,are,O
379,going,O
380,to,O
381,take,O
382,Germany,B-LOC
383,'s,O
384,lead,O
385,",",O
386,"""",O
387,Welsh,B-ORG
388,National,I-ORG
389,Farmers,I-ORG
390,',I-ORG
391,Union,I-ORG
392,(,O
393,NFU,B-ORG
394,),O
395,chairman,O
396,John,B-PER
397,Lloyd,I-PER
398,Jones,I-PER
399,said,O
400,on,O
401,BBC,B-ORG
402,radio,I-ORG
403,.,O
404,Bonn,B-LOC
405,has,O
406,led,O
407,efforts,O
408,to,O
409,protect,O
410,public,O
411,health,O
412,after,O
413,consumer,O
414,confidence,O
415,collapsed,O
416,in,O
417,March,O
418,after,O
419,a,O
420,British,B-MISC
421,report,O
422,suggested,O
423,humans,O
424,could,O
425,contract,O
426,an,O
427,illness,O
428,similar,O
429,to,O
430,mad,O
431,cow,O
432,disease,O
433,by,O
434,eating,O
435,contaminated,O
436,beef,O
437,.,O
438,Germany,B-LOC
439,imported,O
440,"47,600",O
441,sheep,O
442,from,O
443,Britain,B-LOC
444,last,O
445,year,O
446,",",O
447,nearly,O
448,half,O
449,of,O
450,total,O
451,imports,O
452,.,O
453,It,O
454,brought,O
455,in,O
456,"4,275",O
457,tonnes,O
458,of,O
459,British,B-MISC
460,mutton,O
461,",",O
462,some,O
463,10,O
464,percent,O
465,of,O
466,overall,O
467,imports,O
468,.,O
469,Rare,O
470,Hendrix,B-PER
471,song,O
472,draft,O
473,sells,O
474,for,O
475,almost,O
476,$,O
477,"17,000",O
478,.,O
479,LONDON,B-LOC
480,1996-08-22,O
481,A,O
482,rare,O
483,early,O
484,handwritten,O
485,draft,O
486,of,O
487,a,O
488,song,O
489,by,O
490,U.S.,B-LOC
491,guitar,O
492,legend,O
493,Jimi,B-PER
494,Hendrix,I-PER
495,was,O
496,sold,O
497,for,O
498,almost,O
499,$,O
500,"17,000",O
501,on,O
502,Thursday,O
503,at,O
504,an,O
505,auction,O
506,of,O
507,some,O
508,of,O
509,the,O
510,late,O
511,musician,O
512,'s,O
513,favourite,O
514,possessions,O
515,.,O
516,A,O
517,Florida,B-LOC
518,restaurant,O
519,paid,O
520,"10,925",O
521,pounds,O
522,(,O
523,$,O
524,"16,935",O
525,),O
526,for,O
527,the,O
528,draft,O
529,of,O
530,"""",O
531,Ai,B-MISC
532,n't,I-MISC
533,no,I-MISC
534,telling,I-MISC
535,"""",O
536,",",O
537,which,O
538,Hendrix,B-PER
539,penned,O
540,on,O
541,a,O
542,piece,O
543,of,O
544,London,B-LOC
545,hotel,O
546,stationery,O
547,in,O
548,late,O
549,1966,O
550,.,O
551,At,O
552,the,O
553,end,O
554,of,O
555,a,O
556,January,O
557,1967,O
558,concert,O
559,in,O
560,the,O
561,English,B-MISC
562,city,O
563,of,O
564,Nottingham,B-LOC
565,he,O
566,threw,O
567,the,O
568,sheet,O
569,of,O
570,paper,O
571,into,O
572,the,O
573,audience,O
574,",",O
575,where,O
576,it,O
577,was,O
578,retrieved,O
579,by,O
580,a,O
581,fan,O
582,.,O
583,Buyers,O
584,also,O
585,snapped,O
586,up,O
587,16,O
588,other,O
589,items,O
590,that,O
591,were,O
592,put,O
593,up,O
